"Precios al consumidor de una selección de alimentos, bebidas y otros artículos de la canasta del Índice de precios al consumidor, según regiones. Junio 2017- febrero 2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Región,Productos seleccionados,Unidad de medida,Año 2017,,,,,,,,Año 2018,,,,,,,,,,,,,Año 2019,,,,,,,,,,,,,Año 2020,,,,,,,,,,,,,Año 2021,,,,,,,,,,,,,Año 2022,,,,,,,,,,,,,Año 2023,,,,,,,,,,,,,Año 2024,,,,,,,,,,,,,Año 2025,
,,,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero ,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,Enero,Febrero
,,,Pesos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBA,Pan francés,kg,38.64,39.12,39.43,39.71,39.89,40.24,40.55,,41.29,42.62,44.38,45.83,49.81,55.19,57.05,57.61,67.25,71.9,72.63,73.49,,75.04,76.94,79.9,81.56,83.89,87.52,88.68,92.16,98.61,100.62,106.12,108.02,,111.25,112.99,116.37,116.52,113.97,116.46,116.71,116.91,127.31,132.1,138.31,140.13,,145.61,151.12,157.27,164.717942940625,172.293018932874,182.910621066996,185.115698554028,188.621431134082,190.09,197.99,204.32,207.97,,209.92,225.82,265.71,295.24,301.62,311.8,327.39,343.1,366.54,385.2,407.77,428.42,,435.66,459.15,505.58,545.94,617.19,698.16,756.05,861.81,980.2,1076.98,1244.72,1534.79,,1790.62,1942.55,2214.07,2376.84,2501.86,2597.5,2663.51,2774.95,2878.01,2948.01,3040.97,3095.49,,3154.17,3212.93
GBA,Harina de trigo común,kg,10.67,10.61,10.65,10.66,10.61,10.81,11.03,,11.2,11.64,11.94,12.72,16.69,20.99,23.35,24.09,26.92,29.19,30.23,30.32,,30.81,31.28,31.56,31.69,33.15,34.3,34.85,36.04,38.34,38.9,39.48,40.24,,42.07,43.62,43.43,43.7,44.22,44.41,45.62,46.04,46.12,47.66,45.17,42.55,,43.62,45.06,45.12,46.399629320835,49.5059559771371,50.9380564397098,52.7091162053103,53.547282963772,56.83,59.29,59.37,59.46,,62.82,65.55,74.22,86.18,95.25,95.24,107.06,114.41,123.46,132.37,140.7,146.91,,160.14,172.29,176.24,185.36,193.13,196.65,207.44,222.91,241.22,269.52,323.26,492.38,,665.79,741.12,818.97,816.97,786.85,828.26,851.77,829.47,829.22,815.9,830.61,822.88,,818.77,824.92
GBA,Arroz blanco simple,kg,20.96,21.08,21.25,21.49,21.74,21.74,22.1,,22.81,23.22,23.84,24.37,24.64,25.99,26.82,28.7,33.39,35.53,37.65,38.61,,39.39,40.6,40.94,42.2,44.27,45.36,45.83,48.48,49.5,50.38,54.75,57.46,,63.84,66.04,67.75,70.13,70.22,72.56,73.25,73.8,75.75,80.55,80.9,81.76,,81.53,81.61,84.36,96.383823096717,108.970152781559,111.682709382476,111.743490566369,117.360671749081,115.14,116.74,114.43,114.82,,120.6,120.62,124.5,127.08,131.18,136.95,137.75,143.83,154.33,167.76,173.27,183.52,,198.02,226.87,242.47,269.86,318.44,358.85,403.18,460.4,582.04,789.18,1020.69,1557.53,,2046.61,2355.31,2445.35,2422.83,2351.11,2336.91,2301.88,2288.26,2262,2285.88,2273.69,2190.58,,2110.76,1937.98
GBA,Fideos secos tipo guisero,500 g,19.08,19.53,19.73,19.86,20.13,20.34,20.54,,21.23,21.56,22.35,22.86,25.03,26.94,28.33,28.88,34.68,37.81,40.34,41.28,,42.15,43.21,43.89,46.99,48.3,48.47,49.29,49.95,51.45,52.06,53.09,53.79,,56.92,58.85,59.15,59.79,59.1,58.07,59.54,60.08,60.37,60.39,61.54,60.87,,61.51,64.04,66.86,68.8651822767214,69.4488307099251,71.1595827127392,73.6907467469398,75.188592325642,75.34,77.52,76.95,78.44,,80.6,84.2,93.18,100.91,108.12,122.06,139.54,152.35,162.58,177.09,184.35,191.91,,207.95,221.36,235.67,247.65,278.12,308.03,327.01,347.03,391.36,516.94,760.44,991.66,,1125.02,1260.22,1304.62,1359.24,1399.7,1371.32,1396.5,1431.34,1394.23,1374.73,1382.81,1392.73,,1412.18,1415.42
GBA,Carne picada común,kg,72.2,72.71,73.4,73.28,73.75,73.83,72.92,,72.19,75.63,77.08,80.3,83.4,90.41,91.52,95.14,102.45,105.97,106.89,106.47,,113.53,126.42,134.04,135.35,137.67,137.31,141.22,147.85,156.25,157.13,168.39,178.35,,202.41,209.42,214.88,227.42,229.53,230.34,235.95,247.99,248.81,254.61,271.41,300.9,,313.33,327.65,355.55,372.637741909348,407.231596732536,427.820656653559,429.771086517106,414.759300910814,431.41,430.85,479.86,507.32,,481.74,538.25,559.84,614.62,664.87,686.83,695.04,697.06,719.47,728.26,704.96,698.77,,750.61,1013.04,1047.42,1097.26,1146.09,1172.34,1221.66,1702.55,1972.69,2065.09,2345.9,3142.87,,3469.9,3807.3,4193.13,4441.39,4673.95,4837.91,4883.83,4913.59,4934.2,4918.39,5020.98,5395,,5464.55,6081.11
