Región,Productos seleccionados,Unidad de medida,Date,Price,product_id
GBA,Pan francés,kg,2017-06-01,38.64,68
Cuyo,Carne picada común,kg,2017-06-01,72.9,19
Cuyo,Fideos secos tipo guisero,500 g,2017-06-01,17.36,31
Cuyo,Arroz blanco simple,kg,2017-06-01,18.28,7
Cuyo,Harina de trigo común,kg,2017-06-01,10.45,37
Cuyo,Pan francés,kg,2017-06-01,28.12,67
Noroeste,Jabón de tocador,125 g,2017-06-01,14.65,52
Noroeste,Lavandina,1.000 cc,2017-06-01,14.75,58
Noroeste,Detergente líquido,750 cc,2017-06-01,23.05,28
Noroeste,Azúcar,kg,2017-06-01,16.35,16
Noroeste,Papa,kg,2017-06-01,11.33,76
Noroeste,Huevos de gallina,Docena,2017-06-01,30.08,46
Noroeste,Leche fresca entera sachet,Litro,2017-06-01,21.55,64
Noroeste,Aceite de girasol,"1,5 litros",2017-06-01,51.46,4
Noroeste,Pollo entero,kg,2017-06-01,36.0,82
Noroeste,Carne picada común,kg,2017-06-01,81.89,22
Noroeste,Fideos secos tipo guisero,500 g,2017-06-01,13.44,34
Noroeste,Arroz blanco simple,kg,2017-06-01,18.48,10
Cuyo,Pollo entero,kg,2017-06-01,34.22,79
Cuyo,Leche fresca entera sachet,Litro,2017-06-01,23.22,61
Cuyo,Huevos de gallina,Docena,2017-06-01,35.84,43
Cuyo,Papa,kg,2017-06-01,13.01,73
Patagonia,Jabón de tocador,125 g,2017-06-01,15.09,54
Patagonia,Lavandina,1.000 cc,2017-06-01,16.2,60
Patagonia,Detergente líquido,750 cc,2017-06-01,34.48,30
Patagonia,Azúcar,kg,2017-06-01,21.34,18
Patagonia,Papa,kg,2017-06-01,19.44,78
Patagonia,Huevos de gallina,Docena,2017-06-01,43.34,48
Patagonia,Leche fresca entera sachet,Litro,2017-06-01,23.82,66
Patagonia,Aceite de girasol,"1,5 litros",2017-06-01,50.31,6
Noroeste,Harina de trigo común,kg,2017-06-01,10.53,40
Patagonia,Pollo entero,kg,2017-06-01,42.98,84
Patagonia,Fideos secos tipo guisero,500 g,2017-06-01,20.68,36
Patagonia,Arroz blanco simple,kg,2017-06-01,25.82,12
Patagonia,Harina de trigo común,kg,2017-06-01,12.14,42
Patagonia,Pan francés,kg,2017-06-01,38.43,72
Cuyo,Jabón de tocador,125 g,2017-06-01,14.21,49
Cuyo,Lavandina,1.000 cc,2017-06-01,14.23,55
